company_group,sector,ticker,position,statement_type,concepts_used,extraction_method,n_filings,latest_value,latest_period
TechB,Technology,INTC,cash_and_cash_equivalents,balance_sheet,"CashAndCashEquivalentsAtCarryingValue, CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents",sec_companyfacts,21,17247000000.0,2026-03-28
TechB,Technology,LRCX,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,23,4750936000.0,2026-03-29
TechB,Technology,MU,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,24,24995000000.0,2026-05-28
TechB,Technology,NOW,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,2702000000.0,2026-03-31
TechB,Technology,NVDA,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,13237000000.0,2026-04-26
TechB,Technology,PLTR,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,2291631000.0,2026-03-31
TechB,Technology,TXN,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,3549000000.0,2026-03-31
TechB,Technology,AMAT,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,22,3963000000.0,2026-04-26
TechB,Technology,AMD,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,21,4837000000.0,2026-03-28
TechB,Technology,APH,cost_of_revenue,income_statement,CostOfRevenue,sec_companyfacts,21,4819900000.0,2026-03-31
TechB,Technology,AVGO,cost_of_revenue,income_statement,CostOfRevenue,sec_companyfacts,22,6772000000.0,2026-05-03
TechB,Technology,CRM,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,21,2570000000.0,2026-04-30
TechB,Technology,CSCO,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,23,5761000000.0,2026-04-25
TechB,Technology,INTC,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,21,8230000000.0,2026-03-28
TechB,Technology,LRCX,cost_of_revenue,income_statement,"CostOfGoodsAndServicesSold, CostOfGoodsAndServicesSoldExcludingRestructuringCharges",ixbrl_dimensional,23,2930961000.0,2026-03-29
TechB,Technology,MU,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,24,6400000000.0,2026-05-28
TechB,Technology,NOW,cost_of_revenue,income_statement,CostOfRevenue,sec_companyfacts,21,940000000.0,2026-03-31
TechB,Technology,NVDA,cost_of_revenue,income_statement,CostOfRevenue,sec_companyfacts,21,20458000000.0,2026-04-26
TechB,Technology,PLTR,cost_of_revenue,income_statement,CostOfRevenue,sec_companyfacts,21,215798000.0,2026-03-31
TechB,Technology,TXN,cost_of_revenue,income_statement,"CostOfGoodsAndServicesSold, CostOfRevenue",sec_companyfacts,21,2026000000.0,2026-03-31
TechB,Technology,AMAT,gross_profit,income_statement,GrossProfit,sec_companyfacts,22,3947000000.0,2026-04-26
TechB,Technology,AMD,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,5416000000.0,2026-03-28
TechB,Technology,APH,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,2800200000.0,2026-03-31
TechB,Technology,AVGO,gross_profit,income_statement,GrossProfit,sec_companyfacts,22,15415000000.0,2026-05-03
TechB,Technology,CRM,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,8563000000.0,2026-04-30
TechB,Technology,CSCO,gross_profit,income_statement,GrossProfit,sec_companyfacts,23,10080000000.0,2026-04-25
TechB,Technology,INTC,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,5347000000.0,2026-03-28
TechB,Technology,LRCX,gross_profit,income_statement,GrossProfit,sec_companyfacts,23,2910527000.0,2026-03-29
TechB,Technology,MU,gross_profit,income_statement,GrossProfit,sec_companyfacts,24,35056000000.0,2026-05-28
TechB,Technology,NOW,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,2830000000.0,2026-03-31
TechB,Technology,NVDA,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,61157000000.0,2026-04-26
TechB,Technology,PLTR,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,1416785000.0,2026-03-31
TechB,Technology,TXN,gross_profit,income_statement,GrossProfit,sec_companyfacts,21,2799000000.0,2026-03-31
TechB,Technology,AMAT,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,22,3225000000.0,2026-04-26
TechB,Technology,AMD,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,21,1604000000.0,2026-03-28
TechB,Technology,APH,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,1645700000.0,2026-03-31
TechB,Technology,AVGO,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,22,10130000000.0,2026-05-03
TechB,Technology,CRM,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,21,2721000000.0,2026-04-30
TechB,Technology,CSCO,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,23,4039000000.0,2026-04-25
TechB,Technology,INTC,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,-3946000000.0,2026-03-28
TechB,Technology,LRCX,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,23,2011556000.0,2026-03-29
TechB,Technology,MU,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,sec_companyfacts,24,33212000000.0,2026-05-28
TechB,Technology,NOW,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,21,673000000.0,2026-03-31
TechB,Technology,NVDA,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,21,69903000000.0,2026-04-26
TechB,Technology,PLTR,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,888601000.0,2026-03-31
